three_character,group,sub_chapter,chapter
H62,Disorders of external ear in diseases classified elsewhere,Diseases of the external ear,Diseases of the ear and mastoid process
H65,Nonsuppurative otitis media,Diseases of the external ear,Diseases of the ear and mastoid process
H66,Suppurative and unspecified otitis media,Diseases of the middle ear and mastoid,Diseases of the ear and mastoid process
H67,Otitis media in diseases classified elsewhere,Diseases of the middle ear and mastoid,Diseases of the ear and mastoid process
H68,Eustachian salpingitis and obstruction,Diseases of the middle ear and mastoid,Diseases of the ear and mastoid process
H69,Other disorders of Eustachian tube,Diseases of the middle ear and mastoid,Diseases of the ear and mastoid process
H70,Mastoiditis and related conditions,Diseases of the middle ear and mastoid,Diseases of the ear and mastoid process
H71,Cholesteatoma of middle ear,Diseases of the middle ear and mastoid,Diseases of the ear and mastoid process
H72,Perforation of tympanic membrane,Diseases of the middle ear and mastoid,Diseases of the ear and mastoid process
H73,Other disorders of tympanic membrane,Diseases of the middle ear and mastoid,Diseases of the ear and mastoid process
H74,Other disorders of middle ear and mastoid,Diseases of the middle ear and mastoid,Diseases of the ear and mastoid process
H75,Other disorders of middle ear and mastoid in diseases classified elsewhere,Diseases of the middle ear and mastoid,Diseases of the ear and mastoid process
H80,Otosclerosis,Diseases of the middle ear and mastoid,Diseases of the ear and mastoid process
H81,Disorders of vestibular function,Diseases of the inner ear,Diseases of the ear and mastoid process
H82,Vertiginous syndromes in diseases classified elsewhere,Diseases of the inner ear,Diseases of the ear and mastoid process
H83,Other diseases of inner ear,Diseases of the inner ear,Diseases of the ear and mastoid process
H90,Conductive and sensorineural hearing loss,Diseases of the inner ear,Diseases of the ear and mastoid process
H91,Other hearing loss,Other disorders of the ear,Diseases of the ear and mastoid process
H92,Otalgia and effusion of ear,Other disorders of the ear,Diseases of the ear and mastoid process
H93,"Other disorders of ear, not elsewhere classified",Other disorders of the ear,Diseases of the ear and mastoid process
H94,Other disorders of ear in diseases classified elsewhere,Other disorders of the ear,Diseases of the ear and mastoid process
H95,"Postprocedural disorders of ear and mastoid process, not elsewhere classified",Other disorders of the ear,Diseases of the ear and mastoid process
I00,Rheumatic fever without mention of heart involvement,Other disorders of the ear,Diseases of the ear and mastoid process
I01,Rheumatic fever with heart involvement,Acute rheumatic fever,Diseases of the circulatory system
I02,Rheumatic chorea,Acute rheumatic fever,Diseases of the circulatory system
I05,Rheumatic mitral valve diseases,Acute rheumatic fever,Diseases of the circulatory system
I06,Rheumatic aortic valve diseases,Chronic rheumatic heart diseases,Diseases of the circulatory system
I07,Rheumatic tricuspid valve diseases,Chronic rheumatic heart diseases,Diseases of the circulatory system
I08,Multiple valve diseases,Chronic rheumatic heart diseases,Diseases of the circulatory system
I09,Other rheumatic heart diseases,Chronic rheumatic heart diseases,Diseases of the circulatory system
I10,Essential (primary) hypertension,Chronic rheumatic heart diseases,Diseases of the circulatory system
I11,Hypertensive heart disease,Hypertensive diseases,Diseases of the circulatory system
I12,Hypertensive renal disease,Hypertensive diseases,Diseases of the circulatory system
I13,Hypertensive heart and renal disease,Hypertensive diseases,Diseases of the circulatory system
I15,Secondary hypertension,Hypertensive diseases,Diseases of the circulatory system
I20,Angina pectoris,Hypertensive diseases,Diseases of the circulatory system
I21,Acute myocardial infarction,Ischaemic heart diseases,Diseases of the circulatory system
I22,Subsequent myocardial infarction,Ischaemic heart diseases,Diseases of the circulatory system
I23,Certain current complications following acute myocardial infarction,Ischaemic heart diseases,Diseases of the circulatory system
I24,Other acute ischaemic heart diseases,Ischaemic heart diseases,Diseases of the circulatory system
I25,Chronic ischaemic heart disease,Ischaemic heart diseases,Diseases of the circulatory system
I26,Pulmonary embolism,Ischaemic heart diseases,Diseases of the circulatory system
I27,Other pulmonary heart diseases,Pulmonary heart disease and diseases of pulmonary circulation,Diseases of the circulatory system
I28,Other diseases of pulmonary vessels,Pulmonary heart disease and diseases of pulmonary circulation,Diseases of the circulatory system
I30,Acute pericarditis,Pulmonary heart disease and diseases of pulmonary circulation,Diseases of the circulatory system
I31,Other diseases of pericardium,Other forms of heart disease,Diseases of the circulatory system
I32,Pericarditis in diseases classified elsewhere,Other forms of heart disease,Diseases of the circulatory system
I33,Acute and subacute endocarditis,Other forms of heart disease,Diseases of the circulatory system
I34,Nonrheumatic mitral valve disorders,Other forms of heart disease,Diseases of the circulatory system
I35,Nonrheumatic aortic valve disorders,Other forms of heart disease,Diseases of the circulatory system
I36,Nonrheumatic tricuspid valve disorders,Other forms of heart disease,Diseases of the circulatory system
I37,Pulmonary valve disorders,Other forms of heart disease,Diseases of the circulatory system
I38,"Endocarditis, valve unspecified",Other forms of heart disease,Diseases of the circulatory system
I39,Endocarditis and heart valve disorders in diseases classified elsewhere,Other forms of heart disease,Diseases of the circulatory system
I40,Acute myocarditis,Other forms of heart disease,Diseases of the circulatory system
I41,Myocarditis in diseases classified elsewhere,Other forms of heart disease,Diseases of the circulatory system
I42,Cardiomyopathy,Other forms of heart disease,Diseases of the circulatory system
I43,Cardiomyopathy in diseases classified elsewhere,Other forms of heart disease,Diseases of the circulatory system
I44,Atrioventricular and left bundle-branch block,Other forms of heart disease,Diseases of the circulatory system
I45,Other conduction disorders,Other forms of heart disease,Diseases of the circulatory system
I46,Cardiac arrest,Other forms of heart disease,Diseases of the circulatory system
I47,Paroxysmal tachycardia,Other forms of heart disease,Diseases of the circulatory system
I48,Atrial fibrillation and flutter,Other forms of heart disease,Diseases of the circulatory system
I49,Other cardiac arrhythmias,Other forms of heart disease,Diseases of the circulatory system
I50,Heart failure,Other forms of heart disease,Diseases of the circulatory system
I51,Complications and ill-defined descriptions of heart disease,Other forms of heart disease,Diseases of the circulatory system
I52,Other heart disorders in diseases classified elsewhere,Other forms of heart disease,Diseases of the circulatory system
I60,Subarachnoid haemorrhage,Other forms of heart disease,Diseases of the circulatory system
I61,Intracerebral haemorrhage,Cerebrovascular disease,Diseases of the circulatory system
I62,Other nontraumatic intracranial haemorrhage,Cerebrovascular disease,Diseases of the circulatory system
I63,Cerebral infarction,Cerebrovascular disease,Diseases of the circulatory system
I64,"Stroke, not specified as haemorrhage or infarction",Cerebrovascular disease,Diseases of the circulatory system
I65,"Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction",Cerebrovascular disease,Diseases of the circulatory system
I66,"Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction",Cerebrovascular disease,Diseases of the circulatory system
I67,Other cerebrovascular diseases,Cerebrovascular disease,Diseases of the circulatory system
I68,Cerebrovascular disorders in diseases classified elsewhere,Cerebrovascular disease,Diseases of the circulatory system
I69,Sequelae of cerebrovascular disease,Cerebrovascular disease,Diseases of the circulatory system
I70,Atherosclerosis,Cerebrovascular disease,Diseases of the circulatory system
I71,Aortic aneurysm and dissection,"Diseases of the arteries, arterioles and capillaries",Diseases of the circulatory system
I72,Other aneurysm,"Diseases of the arteries, arterioles and capillaries",Diseases of the circulatory system
I73,Other peripheral vascular diseases,"Diseases of the arteries, arterioles and capillaries",Diseases of the circulatory system
I74,Arterial embolism and thrombosis,"Diseases of the arteries, arterioles and capillaries",Diseases of the circulatory system
I77,Other disorders of arteries and arterioles,"Diseases of the arteries, arterioles and capillaries",Diseases of the circulatory system
I78,Diseases of capillaries,"Diseases of the arteries, arterioles and capillaries",Diseases of the circulatory system
I79,"Disorders of arteries, arterioles and capillaries in diseases classified elsewhere","Diseases of the arteries, arterioles and capillaries",Diseases of the circulatory system
I80,Phlebitis and thrombophlebitis,"Diseases of the arteries, arterioles and capillaries",Diseases of the circulatory system
I81,Portal vein thrombosis,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",Diseases of the circulatory system
I82,Other venous embolism and thrombosis,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",Diseases of the circulatory system
I83,Varicose veins of lower extremities,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",Diseases of the circulatory system
I84,Haemorrhoids,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",Diseases of the circulatory system
I85,Oesophageal varices,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",Diseases of the circulatory system
I86,Varicose veins of other sites,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",Diseases of the circulatory system
I87,Other disorders of veins,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",Diseases of the circulatory system
I88,Nonspecific lymphadenitis,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",Diseases of the circulatory system
I89,Other noninfective disorders of lymphatic vessels and lymph nodes,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",Diseases of the circulatory system
I95,Hypotension,Other and unspecified disorders of the circulatory system,Diseases of the circulatory system
I97,"Postprocedural disorders of circulatory system, not elsewhere classified",Other and unspecified disorders of the circulatory system,Diseases of the circulatory system
I98,Other disorders of circulatory system in diseases classified elsewhere,Other and unspecified disorders of the circulatory system,Diseases of the circulatory system
I99,Other and unspecified disorders of circulatory system,Other and unspecified disorders of the circulatory system,Diseases of the circulatory system
J00,Acute nasopharyngitis [common cold],Acute upper respiratory infections,Diseases of the respiratory system
J01,Acute sinusitis,Acute upper respiratory infections,Diseases of the respiratory system
J02,Acute pharyngitis,Acute upper respiratory infections,Diseases of the respiratory system
J03,Acute tonsillitis,Acute upper respiratory infections,Diseases of the respiratory system
J04,Acute laryngitis and tracheitis,Acute upper respiratory infections,Diseases of the respiratory system
J05,Acute obstructive laryngitis [croup] and epiglottitis,Acute upper respiratory infections,Diseases of the respiratory system
J06,Acute upper respiratory infections of multiple and unspecified sites,Acute upper respiratory infections,Diseases of the respiratory system
J09,Influenza due to identified zoonotic or pandemic influenza virus,Influenza and pneumonia,Diseases of the respiratory system
J10,Influenza due to identified influenza virus,Influenza and pneumonia,Diseases of the respiratory system
J11,"Influenza, virus not identified",Influenza and pneumonia,Diseases of the respiratory system
J12,"Viral pneumonia, not elsewhere classified",Influenza and pneumonia,Diseases of the respiratory system
J13,Pneumonia due to Streptococcus pneumoniae,Influenza and pneumonia,Diseases of the respiratory system
J14,Pneumonia due to Haemophilus influenzae,Influenza and pneumonia,Diseases of the respiratory system
J15,"Bacterial pneumonia, not elsewhere classified",Influenza and pneumonia,Diseases of the respiratory system
J16,"Pneumonia due to other infectious organisms, not elsewhere classified",Influenza and pneumonia,Diseases of the respiratory system
J17,Pneumonia in diseases classified elsewhere,Influenza and pneumonia,Diseases of the respiratory system
J18,"Pneumonia, organism unspecified",Influenza and pneumonia,Diseases of the respiratory system
J20,Acute bronchitis,Other acute lower respiratory infections,Diseases of the respiratory system
J21,Acute bronchiolitis,Other acute lower respiratory infections,Diseases of the respiratory system
J22,Unspecified acute lower respiratory infection,Other acute lower respiratory infections,Diseases of the respiratory system
J30,Vasomotor and allergic rhinitis,Other diseases of the upper respiratory tract,Diseases of the respiratory system
J31,"Chronic rhinitis, nasopharyngitis and pharyngitis",Other diseases of the upper respiratory tract,Diseases of the respiratory system
J32,Chronic sinusitis,Other diseases of the upper respiratory tract,Diseases of the respiratory system
J33,Nasal polyp,Other diseases of the upper respiratory tract,Diseases of the respiratory system
J34,Other disorders of nose and nasal sinuses,Other diseases of the upper respiratory tract,Diseases of the respiratory system
J35,Chronic diseases of tonsils and adenoids,Other diseases of the upper respiratory tract,Diseases of the respiratory system
J36,Peritonsillar abscess,Other diseases of the upper respiratory tract,Diseases of the respiratory system
J37,Chronic laryngitis and laryngotracheitis,Other diseases of the upper respiratory tract,Diseases of the respiratory system
J38,"Diseases of vocal cords and larynx, not elsewhere classified",Other diseases of the upper respiratory tract,Diseases of the respiratory system
J39,Other diseases of upper respiratory tract,Other diseases of the upper respiratory tract,Diseases of the respiratory system
J40,"Bronchitis, not specified as acute or chronic",Chronic lower respiratory disease,Diseases of the respiratory system
J41,Simple and mucopurulent chronic bronchitis,Chronic lower respiratory disease,Diseases of the respiratory system
J42,Unspecified chronic bronchitis,Chronic lower respiratory disease,Diseases of the respiratory system
J43,Emphysema,Chronic lower respiratory disease,Diseases of the respiratory system
J44,Other chronic obstructive pulmonary disease,Chronic lower respiratory disease,Diseases of the respiratory system
J45,Asthma,Chronic lower respiratory disease,Diseases of the respiratory system
J46,Status asthmaticus,Chronic lower respiratory disease,Diseases of the respiratory system
J47,Bronchiectasis,Chronic lower respiratory disease,Diseases of the respiratory system
J60,Coalworker's pneumoconiosis,Lung diseases due to external agents,Diseases of the respiratory system
J61,Pneumoconiosis due to asbestos and other mineral fibres,Lung diseases due to external agents,Diseases of the respiratory system
J62,Pneumoconiosis due to dust containing silica,Lung diseases due to external agents,Diseases of the respiratory system
J63,Pneumoconiosis due to other inorganic dusts,Lung diseases due to external agents,Diseases of the respiratory system
J64,Unspecified pneumoconiosis,Lung diseases due to external agents,Diseases of the respiratory system
J65,Pneumoconiosis associated with tuberculosis,Lung diseases due to external agents,Diseases of the respiratory system
J66,Airway disease due to specific organic dust,Lung diseases due to external agents,Diseases of the respiratory system
J67,Hypersensitivity pneumonitis due to organic dust,Lung diseases due to external agents,Diseases of the respiratory system
J68,"Respiratory conditions due to inhalation of chemicals, gases, fumes and vapours",Lung diseases due to external agents,Diseases of the respiratory system
J69,Pneumonitis due to solids and liquids,Lung diseases due to external agents,Diseases of the respiratory system
J70,Respiratory conditions due to other external agents,Lung diseases due to external agents,Diseases of the respiratory system
J80,Adult respiratory distress syndrome,Other respiratory diseases principally affecting the interstitium,Diseases of the respiratory system
J81,Pulmonary oedema,Other respiratory diseases principally affecting the interstitium,Diseases of the respiratory system
J82,"Pulmonary eosinophilia, not elsewhere classified",Other respiratory diseases principally affecting the interstitium,Diseases of the respiratory system
J84,Other interstitial pulmonary diseases,Other respiratory diseases principally affecting the interstitium,Diseases of the respiratory system
J85,Abscess of lung and mediastinum,Suppurative and necrotic conditions of lower respiratory tract,Diseases of the respiratory system
J86,Pyothorax,Suppurative and necrotic conditions of lower respiratory tract,Diseases of the respiratory system
J90,"Pleural effusion, not elsewhere classified",Other diseases of pleura,Diseases of the respiratory system
J91,Pleural effusion in conditions classified elsewhere,Other diseases of pleura,Diseases of the respiratory system
J92,Pleural plaque,Other diseases of pleura,Diseases of the respiratory system
J93,Pneumothorax,Other diseases of pleura,Diseases of the respiratory system
J94,Other pleural conditions,Other diseases of pleura,Diseases of the respiratory system
J95,"Postprocedural respiratory disorders, not elsewhere classified",Other diseases of the respiratory system,Diseases of the respiratory system
J96,"Respiratory failure, not elsewhere classified",Other diseases of the respiratory system,Diseases of the respiratory system
J98,Other respiratory disorders,Other diseases of the respiratory system,Diseases of the respiratory system
J99,Respiratory disorders in diseases classified elsewhere,Other diseases of the respiratory system,Diseases of the respiratory system
K00,Disorders of tooth development and eruption,"Diseases of the oral cavity, salivary glands and jaws",Diseases of the digestive system
K01,Embedded and impacted teeth,"Diseases of the oral cavity, salivary glands and jaws",Diseases of the digestive system
K02,Dental caries,"Diseases of the oral cavity, salivary glands and jaws",Diseases of the digestive system
K03,Other diseases of hard tissues of teeth,"Diseases of the oral cavity, salivary glands and jaws",Diseases of the digestive system
K04,Diseases of pulp and periapical tissues,"Diseases of the oral cavity, salivary glands and jaws",Diseases of the digestive system
K05,Gingivitis and periodontal diseases,"Diseases of the oral cavity, salivary glands and jaws",Diseases of the digestive system
K06,Other disorders of gingiva and edentulous alveolar ridge,"Diseases of the oral cavity, salivary glands and jaws",Diseases of the digestive system
K07,Dentofacial anomalies [including malocclusion],"Diseases of the oral cavity, salivary glands and jaws",Diseases of the digestive system
K08,Other disorders of teeth and supporting structures,"Diseases of the oral cavity, salivary glands and jaws",Diseases of the digestive system
K09,"Cysts of oral region, not elsewhere classified","Diseases of the oral cavity, salivary glands and jaws",Diseases of the digestive system
K10,Other diseases of jaws,"Diseases of the oral cavity, salivary glands and jaws",Diseases of the digestive system
K11,Diseases of salivary glands,"Diseases of the oral cavity, salivary glands and jaws",Diseases of the digestive system
K12,Stomatitis and related lesions,"Diseases of the oral cavity, salivary glands and jaws",Diseases of the digestive system
K13,Other diseases of lip and oral mucosa,"Diseases of the oral cavity, salivary glands and jaws",Diseases of the digestive system
K14,Diseases of tongue,"Diseases of the oral cavity, salivary glands and jaws",Diseases of the digestive system
K20,Oesophagitis,"Diseases of the oesophagus, stomach and duodenum",Diseases of the digestive system
K21,Gastro-oesophageal reflux disease,"Diseases of the oesophagus, stomach and duodenum",Diseases of the digestive system
K22,Other diseases of oesophagus,"Diseases of the oesophagus, stomach and duodenum",Diseases of the digestive system
K23,Disorders of oesophagus in diseases classified elsewhere,"Diseases of the oesophagus, stomach and duodenum",Diseases of the digestive system
K25,Gastric ulcer,"Diseases of the oesophagus, stomach and duodenum",Diseases of the digestive system
K26,Duodenal ulcer,"Diseases of the oesophagus, stomach and duodenum",Diseases of the digestive system
K27,"Peptic ulcer, site unspecified","Diseases of the oesophagus, stomach and duodenum",Diseases of the digestive system
K28,Gastrojejunal ulcer,"Diseases of the oesophagus, stomach and duodenum",Diseases of the digestive system
K29,Gastritis and duodenitis,"Diseases of the oesophagus, stomach and duodenum",Diseases of the digestive system
K30,Dyspepsia,"Diseases of the oesophagus, stomach and duodenum",Diseases of the digestive system
K31,Other diseases of stomach and duodenum,"Diseases of the oesophagus, stomach and duodenum",Diseases of the digestive system
K35,Acute appendicitis,Diseases of appendix,Diseases of the digestive system
K36,Other appendicitis,Diseases of appendix,Diseases of the digestive system
K37,Unspecified appendicitis,Diseases of appendix,Diseases of the digestive system
K38,Other diseases of appendix,Diseases of appendix,Diseases of the digestive system
K40,Inguinal hernia,Hernia,Diseases of the digestive system
K41,Femoral hernia,Hernia,Diseases of the digestive system
K42,Umbilical hernia,Hernia,Diseases of the digestive system
K43,Ventral hernia,Hernia,Diseases of the digestive system
K44,Diaphragmatic hernia,Hernia,Diseases of the digestive system
K45,Other abdominal hernia,Hernia,Diseases of the digestive system
K46,Unspecified abdominal hernia,Hernia,Diseases of the digestive system
K50,Crohn's disease [regional enteritis],Noninfective enteritis and colitis,Diseases of the digestive system
K51,Ulcerative colitis,Noninfective enteritis and colitis,Diseases of the digestive system
K52,Other noninfective gastroenteritis and colitis,Noninfective enteritis and colitis,Diseases of the digestive system
K55,Vascular disorders of intestine,Other diseases of the intestines,Diseases of the digestive system
K56,Paralytic ileus and intestinal obstruction without hernia,Other diseases of the intestines,Diseases of the digestive system
K57,Diverticular disease of intestine,Other diseases of the intestines,Diseases of the digestive system
K58,Irritable bowel syndrome,Other diseases of the intestines,Diseases of the digestive system
K59,Other functional intestinal disorders,Other diseases of the intestines,Diseases of the digestive system
K60,Fissure and fistula of anal and rectal regions,Other diseases of the intestines,Diseases of the digestive system
K61,Abscess of anal and rectal regions,Other diseases of the intestines,Diseases of the digestive system
K62,Other diseases of anus and rectum,Other diseases of the intestines,Diseases of the digestive system
K63,Other diseases of intestine,Other diseases of the intestines,Diseases of the digestive system
K64,Haemorrhoids and perianal venous thrombosis,Other diseases of the intestines,Diseases of the digestive system
K65,Peritonitis,Diseases of the peritoneum,Diseases of the digestive system
K66,Other disorders of peritoneum,Diseases of the peritoneum,Diseases of the digestive system
K67,Disorders of peritoneum in infectious diseases classified elsewhere,Diseases of the peritoneum,Diseases of the digestive system
K70,Alcoholic liver disease,Diseases of the liver,Diseases of the digestive system
K71,Toxic liver disease,Diseases of the liver,Diseases of the digestive system
K72,"Hepatic failure, not elsewhere classified",Diseases of the liver,Diseases of the digestive system
K73,"Chronic hepatitis, not elsewhere classified",Diseases of the liver,Diseases of the digestive system
K74,Fibrosis and cirrhosis of liver,Diseases of the liver,Diseases of the digestive system
K75,Other inflammatory liver diseases,Diseases of the liver,Diseases of the digestive system
K76,Other diseases of liver,Diseases of the liver,Diseases of the digestive system
K77,Liver disorders in diseases classified elsewhere,Diseases of the liver,Diseases of the digestive system
K80,Cholelithiasis,"Disorders od the gallbladder, biliary tract and pancreas",Diseases of the digestive system
K81,Cholecystitis,"Disorders od the gallbladder, biliary tract and pancreas",Diseases of the digestive system
K82,Other diseases of gallbladder,"Disorders od the gallbladder, biliary tract and pancreas",Diseases of the digestive system
K83,Other diseases of biliary tract,"Disorders od the gallbladder, biliary tract and pancreas",Diseases of the digestive system
K85,Acute pancreatitis,"Disorders od the gallbladder, biliary tract and pancreas",Diseases of the digestive system
K86,Other diseases of pancreas,"Disorders od the gallbladder, biliary tract and pancreas",Diseases of the digestive system
K87,"Disorders of gallbladder, biliary tract and pancreas in diseases classified elsewhere","Disorders od the gallbladder, biliary tract and pancreas",Diseases of the digestive system
K90,Intestinal malabsorption,Other diseases of the digestive system,Diseases of the digestive system
K91,"Postprocedural disorders of digestive system, not elsewhere classified",Other diseases of the digestive system,Diseases of the digestive system
K92,Other diseases of digestive system,Other diseases of the digestive system,Diseases of the digestive system
K93,Disorders of other digestive organs in diseases classified elsewhere,Other diseases of the digestive system,Diseases of the digestive system
L00,Staphylococcal scalded skin syndrome,Infections of the skin and subcutaneous tissue,Diseases of the skin and subcutaneous tissue
L01,Impetigo,Infections of the skin and subcutaneous tissue,Diseases of the skin and subcutaneous tissue
L02,"Cutaneous abscess, furuncle and carbuncle",Infections of the skin and subcutaneous tissue,Diseases of the skin and subcutaneous tissue
L03,Cellulitis,Infections of the skin and subcutaneous tissue,Diseases of the skin and subcutaneous tissue
L04,Acute lymphadenitis,Infections of the skin and subcutaneous tissue,Diseases of the skin and subcutaneous tissue
L05,Pilonidal cyst,Infections of the skin and subcutaneous tissue,Diseases of the skin and subcutaneous tissue
L08,Other local infections of skin and subcutaneous tissue,Infections of the skin and subcutaneous tissue,Diseases of the skin and subcutaneous tissue
L10,Pemphigus,Bullous disorders,Diseases of the skin and subcutaneous tissue
L11,Other acantholytic disorders,Bullous disorders,Diseases of the skin and subcutaneous tissue
L12,Pemphigoid,Bullous disorders,Diseases of the skin and subcutaneous tissue
L13,Other bullous disorders,Bullous disorders,Diseases of the skin and subcutaneous tissue
L14,Bullous disorders in diseases classified elsewhere,Bullous disorders,Diseases of the skin and subcutaneous tissue
L20,Atopic dermatitis,Dermatitis and eczema,Diseases of the skin and subcutaneous tissue
L21,Seborrhoeic dermatitis,Dermatitis and eczema,Diseases of the skin and subcutaneous tissue
L22,Diaper [napkin] dermatitis,Dermatitis and eczema,Diseases of the skin and subcutaneous tissue
L23,Allergic contact dermatitis,Dermatitis and eczema,Diseases of the skin and subcutaneous tissue
L24,Irritant contact dermatitis,Dermatitis and eczema,Diseases of the skin and subcutaneous tissue
L25,Unspecified contact dermatitis,Dermatitis and eczema,Diseases of the skin and subcutaneous tissue
L26,Exfoliative dermatitis,Dermatitis and eczema,Diseases of the skin and subcutaneous tissue
L27,Dermatitis due to substances taken internally,Dermatitis and eczema,Diseases of the skin and subcutaneous tissue
L28,Lichen simplex chronicus and prurigo,Dermatitis and eczema,Diseases of the skin and subcutaneous tissue
L29,Pruritus,Dermatitis and eczema,Diseases of the skin and subcutaneous tissue
L30,Other dermatitis,Dermatitis and eczema,Diseases of the skin and subcutaneous tissue
L40,Psoriasis,Papulosquamous disorders,Diseases of the skin and subcutaneous tissue
L41,Parapsoriasis,Papulosquamous disorders,Diseases of the skin and subcutaneous tissue
L42,Pityriasis rosea,Papulosquamous disorders,Diseases of the skin and subcutaneous tissue
L43,Lichen planus,Papulosquamous disorders,Diseases of the skin and subcutaneous tissue
L44,Other papulosquamous disorders,Papulosquamous disorders,Diseases of the skin and subcutaneous tissue
L45,Papulosquamous disorders in diseases classified elsewhere,Papulosquamous disorders,Diseases of the skin and subcutaneous tissue
L50,Urticaria,Urticaria and erythema,Diseases of the skin and subcutaneous tissue
L51,Erythema multiforme,Urticaria and erythema,Diseases of the skin and subcutaneous tissue
L52,Erythema nodosum,Urticaria and erythema,Diseases of the skin and subcutaneous tissue
L53,Other erythematous conditions,Urticaria and erythema,Diseases of the skin and subcutaneous tissue
L54,Erythema in diseases classified elsewhere,Urticaria and erythema,Diseases of the skin and subcutaneous tissue
L55,Sunburn,Radiation-related disorders of the skin and subcutaneous tissue,Diseases of the skin and subcutaneous tissue
L56,Other acute skin changes due to ultraviolet radiation,Radiation-related disorders of the skin and subcutaneous tissue,Diseases of the skin and subcutaneous tissue
L57,Skin changes due to chronic exposure to nonionizing radiation,Radiation-related disorders of the skin and subcutaneous tissue,Diseases of the skin and subcutaneous tissue
L58,Radiodermatitis,Radiation-related disorders of the skin and subcutaneous tissue,Diseases of the skin and subcutaneous tissue
L59,Other disorders of skin and subcutaneous tissue related to radiation,Radiation-related disorders of the skin and subcutaneous tissue,Diseases of the skin and subcutaneous tissue
L60,Nail disorders,Disorders of skin appendages,Diseases of the skin and subcutaneous tissue
L62,Nail disorders in diseases classified elsewhere,Disorders of skin appendages,Diseases of the skin and subcutaneous tissue
L63,Alopecia areata,Disorders of skin appendages,Diseases of the skin and subcutaneous tissue
L64,Androgenic alopecia,Disorders of skin appendages,Diseases of the skin and subcutaneous tissue
L65,Other nonscarring hair loss,Disorders of skin appendages,Diseases of the skin and subcutaneous tissue
L66,Cicatricial alopecia [scarring hair loss],Disorders of skin appendages,Diseases of the skin and subcutaneous tissue
L67,Hair colour and hair shaft abnormalities,Disorders of skin appendages,Diseases of the skin and subcutaneous tissue
L68,Hypertrichosis,Disorders of skin appendages,Diseases of the skin and subcutaneous tissue
L70,Acne,Disorders of skin appendages,Diseases of the skin and subcutaneous tissue
L71,Rosacea,Disorders of skin appendages,Diseases of the skin and subcutaneous tissue
L72,Follicular cysts of skin and subcutaneous tissue,Disorders of skin appendages,Diseases of the skin and subcutaneous tissue
L73,Other follicular disorders,Disorders of skin appendages,Diseases of the skin and subcutaneous tissue
L74,Eccrine sweat disorders,Disorders of skin appendages,Diseases of the skin and subcutaneous tissue
L75,Apocrine sweat disorders,Disorders of skin appendages,Diseases of the skin and subcutaneous tissue
L80,Vitiligo,Other disorders of the skin and subcutaneous tissue,Diseases of the skin and subcutaneous tissue
L81,Other disorders of pigmentation,Other disorders of the skin and subcutaneous tissue,Diseases of the skin and subcutaneous tissue
L82,Seborrhoeic keratosis,Other disorders of the skin and subcutaneous tissue,Diseases of the skin and subcutaneous tissue
L83,Acanthosis nigricans,Other disorders of the skin and subcutaneous tissue,Diseases of the skin and subcutaneous tissue
L84,Corns and callosities,Other disorders of the skin and subcutaneous tissue,Diseases of the skin and subcutaneous tissue
L85,Other epidermal thickening,Other disorders of the skin and subcutaneous tissue,Diseases of the skin and subcutaneous tissue
L86,Keratoderma in diseases classified elsewhere,Other disorders of the skin and subcutaneous tissue,Diseases of the skin and subcutaneous tissue
L87,Transepidermal elimination disorders,Other disorders of the skin and subcutaneous tissue,Diseases of the skin and subcutaneous tissue
L88,Pyoderma gangrenosum,Other disorders of the skin and subcutaneous tissue,Diseases of the skin and subcutaneous tissue
L89,Decubitus ulcer,Other disorders of the skin and subcutaneous tissue,Diseases of the skin and subcutaneous tissue
L90,Atrophic disorders of skin,Other disorders of the skin and subcutaneous tissue,Diseases of the skin and subcutaneous tissue
L91,Hypertrophic disorders of skin,Other disorders of the skin and subcutaneous tissue,Diseases of the skin and subcutaneous tissue
L92,Granulomatous disorders of skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue,Diseases of the skin and subcutaneous tissue
L93,Lupus erythematosus,Other disorders of the skin and subcutaneous tissue,Diseases of the skin and subcutaneous tissue
L94,Other localized connective tissue disorders,Other disorders of the skin and subcutaneous tissue,Diseases of the skin and subcutaneous tissue
L95,"Vasculitis limited to skin, not elsewhere classified",Other disorders of the skin and subcutaneous tissue,Diseases of the skin and subcutaneous tissue
L97,"Ulcer of lower limb, not elsewhere classified",Other disorders of the skin and subcutaneous tissue,Diseases of the skin and subcutaneous tissue
L98,"Other disorders of skin and subcutaneous tissue, not elsewhere classified",Other disorders of the skin and subcutaneous tissue,Diseases of the skin and subcutaneous tissue
