three_character,group,sub_chapter
F40,Phobic anxiety disorders,"Neurotic, stress-related and somatoform disorders"
F41,Other anxiety disorders,"Neurotic, stress-related and somatoform disorders"
F42,Obsessive-compulsive disorder,"Neurotic, stress-related and somatoform disorders"
F43,"Reaction to severe stress, and adjustment disorders","Neurotic, stress-related and somatoform disorders"
F44,Dissociative [conversion] disorders,"Neurotic, stress-related and somatoform disorders"
F45,Somatoform disorders,"Neurotic, stress-related and somatoform disorders"
F48,Other neurotic disorders,"Neurotic, stress-related and somatoform disorders"
F50,Eating disorders,Behavioural syndromes associated with physiological disturbances and physical factors
F51,Nonorganic sleep disorders,Behavioural syndromes associated with physiological disturbances and physical factors
F52,"Sexual dysfunction, not caused by organic disorder or disease",Behavioural syndromes associated with physiological disturbances and physical factors
F53,"Mental and behavioural disorders associated with the puerperium, not elsewhere classified",Behavioural syndromes associated with physiological disturbances and physical factors
F54,Psychological and behavioural factors associated with disorders or diseases classified elsewhere,Behavioural syndromes associated with physiological disturbances and physical factors
F55,Abuse of non-dependence-producing substances,Behavioural syndromes associated with physiological disturbances and physical factors
F59,Unspecified behavioural syndromes associated with physiological disturbances and physical factors,Behavioural syndromes associated with physiological disturbances and physical factors
F60,Specific personality disorders,Disorders of adult personality and behaviour
F61,Mixed and other personality disorders,Disorders of adult personality and behaviour
F62,"Enduring personality changes, not attributable to brain damage and disease",Disorders of adult personality and behaviour
F63,Habit and impulse disorders,Disorders of adult personality and behaviour
F64,Gender identity disorders,Disorders of adult personality and behaviour
F65,Disorders of sexual preference,Disorders of adult personality and behaviour
F66,Psychological and behavioural disorders associated with sexual development and orientation,Disorders of adult personality and behaviour
F68,Other disorders of adult personality and behaviour,Disorders of adult personality and behaviour
F69,Unspecified disorder of adult personality and behaviour,Disorders of adult personality and behaviour
F70,Mild mental retardation,Mental retardation
F71,Moderate mental retardation,Mental retardation
F72,Severe mental retardation,Mental retardation
F73,Profound mental retardation,Mental retardation
F78,Other mental retardation,Mental retardation
F79,Unspecified mental retardation,Mental retardation
F80,Specific developmental disorders of speech and language,Disorders of psychological development
F81,Specific developmental disorders of scholastic skills,Disorders of psychological development
F82,Specific developmental disorder of motor function,Disorders of psychological development
F83,Mixed specific developmental disorders,Disorders of psychological development
F84,Pervasive developmental disorders,Disorders of psychological development
F88,Other disorders of psychological development,Disorders of psychological development
F89,Unspecified disorder of psychological development,Disorders of psychological development
F90,Hyperkinetic disorders,Behavioural and emotional disorders with onset ususally occurring in childhood and adolescence
F91,Conduct disorders,Behavioural and emotional disorders with onset ususally occurring in childhood and adolescence
F92,Mixed disorders of conduct and emotions,Behavioural and emotional disorders with onset ususally occurring in childhood and adolescence
F93,Emotional disorders with onset specific to childhood,Behavioural and emotional disorders with onset ususally occurring in childhood and adolescence
F94,Disorders of social functioning with onset specific to childhood and adolescence,Behavioural and emotional disorders with onset ususally occurring in childhood and adolescence
F95,Tic disorders,Behavioural and emotional disorders with onset ususally occurring in childhood and adolescence
F98,Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence,Behavioural and emotional disorders with onset ususally occurring in childhood and adolescence
F99,"Mental disorder, not otherwise specified",Unspecified mental disorder
G00,"Bacterial meningitis, not elsewhere classified",Inflammatory diseases of the central nervous system
G01,Meningitis in bacterial diseases classified elsewhere,Inflammatory diseases of the central nervous system
G02,Meningitis in other infectious and parasitic diseases classified elsewhere,Inflammatory diseases of the central nervous system
G03,Meningitis due to other and unspecified causes,Inflammatory diseases of the central nervous system
G04,"Encephalitis, myelitis and encephalomyelitis",Inflammatory diseases of the central nervous system
G05,"Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere",Inflammatory diseases of the central nervous system
G06,Intracranial and intraspinal abscess and granuloma,Inflammatory diseases of the central nervous system
G07,Intracranial and intraspinal abscess and granuloma in diseasesclassified elsewhere,Inflammatory diseases of the central nervous system
G08,Intracranial and intraspinal phlebitis and thrombophlebitis,Inflammatory diseases of the central nervous system
G09,Sequelae of inflammatory diseases of central nervous system,Inflammatory diseases of the central nervous system
G10,Huntington's disease,Systemic atrophies primarily affecting the central nervous system
G11,Hereditary ataxia,Systemic atrophies primarily affecting the central nervous system
G12,Spinal muscular atrophy and related syndromes,Systemic atrophies primarily affecting the central nervous system
G13,Systemic atrophies primarily affecting central nervous system indiseases classified elsewhere,Systemic atrophies primarily affecting the central nervous system
G20,Parkinson's disease,Systemic atrophies primarily affecting the central nervous system
G21,Secondary parkinsonism,Extrapyrimidal and movement disorders
G22,Parkinsonism in diseases classified elsewhere,Extrapyrimidal and movement disorders
G23,Other degenerative diseases of basal ganglia,Extrapyrimidal and movement disorders
G24,Dystonia,Extrapyrimidal and movement disorders
G25,Other extrapyramidal and movement disorders,Extrapyrimidal and movement disorders
G26,Extrapyramidal and movement disorders in diseases classified elsewhere,Extrapyrimidal and movement disorders
G30,Alzheimer's disease,Extrapyrimidal and movement disorders
G31,"Other degenerative diseases of nervous system, not elsewhere classified",Other degenerative diseases of the nervous system
G32,Other degenerative disorders of nervous system in diseases classified elsewhere,Other degenerative diseases of the nervous system
G35,Multiple sclerosis,Other degenerative diseases of the nervous system
G36,Other acute disseminated demyelination,Demylelinating diseases of the central nervous system
G37,Other demyelinating diseases of central nervous system,Demylelinating diseases of the central nervous system
G40,Epilepsy,Demylelinating diseases of the central nervous system
G41,Status epilepticus,Episodic and paroxysmal disorders
G43,Migraine,Episodic and paroxysmal disorders
G44,Other headache syndromes,Episodic and paroxysmal disorders
G45,Transient cerebral ischaemic attacks and related syndromes,Episodic and paroxysmal disorders
G46,Vascular syndromes of brain in cerebrovascular diseases (I60-I67+),Episodic and paroxysmal disorders
G47,Sleep disorders,Episodic and paroxysmal disorders
G50,Disorders of trigeminal nerve,Episodic and paroxysmal disorders
G51,Facial nerve disorders,"Nerve, nerve root and plexus disorders"
G52,Disorders of other cranial nerves,"Nerve, nerve root and plexus disorders"
G53,Cranial nerve disorders in diseases classified elsewhere,"Nerve, nerve root and plexus disorders"
G54,Nerve root and plexus disorders,"Nerve, nerve root and plexus disorders"
G55,Nerve root and plexus compressions in diseases classified elsewhere,"Nerve, nerve root and plexus disorders"
G56,Mononeuropathies of upper limb,"Nerve, nerve root and plexus disorders"
G57,Mononeuropathies of lower limb,"Nerve, nerve root and plexus disorders"
G58,Other mononeuropathies,"Nerve, nerve root and plexus disorders"
G59,Mononeuropathy in diseases classified elsewhere,"Nerve, nerve root and plexus disorders"
G60,Hereditary and idiopathic neuropathy,"Nerve, nerve root and plexus disorders"
G61,Inflammatory polyneuropathy,Polyneuropathies and other disorders of the peripheral nervous system
G62,Other polyneuropathies,Polyneuropathies and other disorders of the peripheral nervous system
G63,Polyneuropathy in diseases classified elsewhere,Polyneuropathies and other disorders of the peripheral nervous system
G64,Other disorders of peripheral nervous system,Polyneuropathies and other disorders of the peripheral nervous system
G70,Myasthenia gravis and other myoneural disorders,Polyneuropathies and other disorders of the peripheral nervous system
G71,Primary disorders of muscles,Diseases of myoneural junction and muscle
G72,Other myopathies,Diseases of myoneural junction and muscle
G73,Disorders of myoneural junction and muscle in diseases classified elsewhere,Diseases of myoneural junction and muscle
G80,Infantile cerebral palsy,Diseases of myoneural junction and muscle
G81,Hemiplegia,Cerbral palsy and other paralytic syndromes
G82,Paraplegia and tetraplegia,Cerbral palsy and other paralytic syndromes
G83,Other paralytic syndromes,Cerbral palsy and other paralytic syndromes
G90,Disorders of autonomic nervous system,Cerbral palsy and other paralytic syndromes
G91,Hydrocephalus,Other disorders of the nervous system
G92,Toxic encephalopathy,Other disorders of the nervous system
G93,Other disorders of brain,Other disorders of the nervous system
G94,Other disorders of brain in diseases classified elsewhere,Other disorders of the nervous system
G95,Other diseases of spinal cord,Other disorders of the nervous system
G96,Other disorders of central nervous system,Other disorders of the nervous system
G97,"Postprocedural disorders of nervous system, not elsewhere classified",Other disorders of the nervous system
G98,"Other disorders of nervous system, not elsewhere classified",Other disorders of the nervous system
G99,Other disorders of nervous system in diseases classified elsewhere,Other disorders of the nervous system
H00,Hordeolum and chalazion,Other disorders of the nervous system
H01,Other inflammation of eyelid,"Disorders of eyelid, lacrimal system and orbit"
H02,Other disorders of eyelid,"Disorders of eyelid, lacrimal system and orbit"
H03,Disorders of eyelid in diseases classified elsewhere,"Disorders of eyelid, lacrimal system and orbit"
H04,Disorders of lacrimal system,"Disorders of eyelid, lacrimal system and orbit"
H05,Disorders of orbit,"Disorders of eyelid, lacrimal system and orbit"
H06,Disorders of lacrimal system and orbit in diseases classified elsewhere,"Disorders of eyelid, lacrimal system and orbit"
H10,Conjunctivitis,"Disorders of eyelid, lacrimal system and orbit"
H11,Other disorders of conjunctiva,Disorders od the conjunctiva
H13,Disorders of conjunctiva in diseases classified elsewhere,Disorders od the conjunctiva
H15,Disorders of sclera,Disorders od the conjunctiva
H16,Keratitis,"Diosrders of the sclera, cornea, iris and ciliary body"
H17,Corneal scars and opacities,"Diosrders of the sclera, cornea, iris and ciliary body"
H18,Other disorders of cornea,"Diosrders of the sclera, cornea, iris and ciliary body"
H19,Disorders of sclera and cornea in diseases classified elsewhere,"Diosrders of the sclera, cornea, iris and ciliary body"
H20,Iridocyclitis,"Diosrders of the sclera, cornea, iris and ciliary body"
H21,Other disorders of iris and ciliary body,"Diosrders of the sclera, cornea, iris and ciliary body"
H22,Disorders of iris and ciliary body in diseases classified elsewhere,"Diosrders of the sclera, cornea, iris and ciliary body"
H25,Senile cataract,"Diosrders of the sclera, cornea, iris and ciliary body"
H26,Other cataract,Disorders of the lens
H27,Other disorders of lens,Disorders of the lens
H28,Cataract and other disorders of lens in diseases classified elsewhere,Disorders of the lens
H30,Chorioretinal inflammation,Disorders of the lens
H31,Other disorders of choroid,Disorders of choroid and retina
H32,Chorioretinal disorders in diseases classified elsewhere,Disorders of choroid and retina
H33,Retinal detachments and breaks,Disorders of choroid and retina
H34,Retinal vascular occlusions,Disorders of choroid and retina
H35,Other retinal disorders,Disorders of choroid and retina
H36,Retinal disorders in diseases classified elsewhere,Disorders of choroid and retina
H40,Glaucoma,Disorders of choroid and retina
H42,Glaucoma in diseases classified elsewhere,Galucoma
H43,Disorders of vitreous body,Galucoma
H44,Disorders of globe,Diorders of the vitreous body and globe
H45,Disorders of vitreous body and globe in diseases classified elsewhere,Diorders of the vitreous body and globe
H46,Optic neuritis,Diorders of the vitreous body and globe
H47,Other disorders of optic [2nd] nerve and visual pathways,Disorders of the optic nerve and visual pathways
H48,Disorders of optic [2nd] nerve and visual pathways in diseases classified elsewhere,Disorders of the optic nerve and visual pathways
H49,Paralytic strabismus,Disorders of the optic nerve and visual pathways
H50,Other strabismus,"Disorders of the ocular muscles, binocular movement, accommmodation and refraction"
H51,Other disorders of binocular movement,"Disorders of the ocular muscles, binocular movement, accommmodation and refraction"
H52,Disorders of refraction and accommodation,"Disorders of the ocular muscles, binocular movement, accommmodation and refraction"
H53,Visual disturbances,"Disorders of the ocular muscles, binocular movement, accommmodation and refraction"
H54,Blindness and low vision,Visual disturbanes and blindness
H55,Nystagmus and other irregular eye movements,Visual disturbanes and blindness
H57,Other disorders of eye and adnexa,Other disorders of the eye and adnexa
H58,Other disorders of eye and adnexa in diseases classified elsewhere,Other disorders of the eye and adnexa
H59,"Postprocedural disorders of eye and adnexa, not elsewhere classified",Other disorders of the eye and adnexa
H60,Otitis externa,Other disorders of the eye and adnexa
H61,Other disorders of external ear,Diseases of the external ear
H62,Disorders of external ear in diseases classified elsewhere,Diseases of the external ear
H65,Nonsuppurative otitis media,Diseases of the external ear
H66,Suppurative and unspecified otitis media,Diseases of the middle ear and mastoid
H67,Otitis media in diseases classified elsewhere,Diseases of the middle ear and mastoid
H68,Eustachian salpingitis and obstruction,Diseases of the middle ear and mastoid
H69,Other disorders of Eustachian tube,Diseases of the middle ear and mastoid
H70,Mastoiditis and related conditions,Diseases of the middle ear and mastoid
H71,Cholesteatoma of middle ear,Diseases of the middle ear and mastoid
H72,Perforation of tympanic membrane,Diseases of the middle ear and mastoid
H73,Other disorders of tympanic membrane,Diseases of the middle ear and mastoid
H74,Other disorders of middle ear and mastoid,Diseases of the middle ear and mastoid
H75,Other disorders of middle ear and mastoid in diseases classified elsewhere,Diseases of the middle ear and mastoid
H80,Otosclerosis,Diseases of the middle ear and mastoid
H81,Disorders of vestibular function,Diseases of the inner ear
H82,Vertiginous syndromes in diseases classified elsewhere,Diseases of the inner ear
H83,Other diseases of inner ear,Diseases of the inner ear
H90,Conductive and sensorineural hearing loss,Diseases of the inner ear
H91,Other hearing loss,Other disorders of the ear
H92,Otalgia and effusion of ear,Other disorders of the ear
H93,"Other disorders of ear, not elsewhere classified",Other disorders of the ear
H94,Other disorders of ear in diseases classified elsewhere,Other disorders of the ear
H95,"Postprocedural disorders of ear and mastoid process, not elsewhere classified",Other disorders of the ear
I00,Rheumatic fever without mention of heart involvement,Other disorders of the ear
I01,Rheumatic fever with heart involvement,Acute rheumatic fever
I02,Rheumatic chorea,Acute rheumatic fever
I05,Rheumatic mitral valve diseases,Acute rheumatic fever
I06,Rheumatic aortic valve diseases,Chronic rheumatic heart diseases
I07,Rheumatic tricuspid valve diseases,Chronic rheumatic heart diseases
I08,Multiple valve diseases,Chronic rheumatic heart diseases
I09,Other rheumatic heart diseases,Chronic rheumatic heart diseases
I10,Essential (primary) hypertension,Chronic rheumatic heart diseases
I11,Hypertensive heart disease,Hypertensive diseases
I12,Hypertensive renal disease,Hypertensive diseases
I13,Hypertensive heart and renal disease,Hypertensive diseases
I15,Secondary hypertension,Hypertensive diseases
I20,Angina pectoris,Hypertensive diseases
I21,Acute myocardial infarction,Ischaemic heart diseases
I22,Subsequent myocardial infarction,Ischaemic heart diseases
I23,Certain current complications following acute myocardial infarction,Ischaemic heart diseases
I24,Other acute ischaemic heart diseases,Ischaemic heart diseases
I25,Chronic ischaemic heart disease,Ischaemic heart diseases
I26,Pulmonary embolism,Ischaemic heart diseases
I27,Other pulmonary heart diseases,Pulmonary heart disease and diseases of pulmonary circulation
I28,Other diseases of pulmonary vessels,Pulmonary heart disease and diseases of pulmonary circulation
I30,Acute pericarditis,Pulmonary heart disease and diseases of pulmonary circulation
I31,Other diseases of pericardium,Other forms of heart disease
I32,Pericarditis in diseases classified elsewhere,Other forms of heart disease
I33,Acute and subacute endocarditis,Other forms of heart disease
I34,Nonrheumatic mitral valve disorders,Other forms of heart disease
I35,Nonrheumatic aortic valve disorders,Other forms of heart disease
I36,Nonrheumatic tricuspid valve disorders,Other forms of heart disease
I37,Pulmonary valve disorders,Other forms of heart disease
I38,"Endocarditis, valve unspecified",Other forms of heart disease
I39,Endocarditis and heart valve disorders in diseases classified elsewhere,Other forms of heart disease
I40,Acute myocarditis,Other forms of heart disease
I41,Myocarditis in diseases classified elsewhere,Other forms of heart disease
I42,Cardiomyopathy,Other forms of heart disease
I43,Cardiomyopathy in diseases classified elsewhere,Other forms of heart disease
I44,Atrioventricular and left bundle-branch block,Other forms of heart disease
I45,Other conduction disorders,Other forms of heart disease
I46,Cardiac arrest,Other forms of heart disease
I47,Paroxysmal tachycardia,Other forms of heart disease
I48,Atrial fibrillation and flutter,Other forms of heart disease
I49,Other cardiac arrhythmias,Other forms of heart disease
I50,Heart failure,Other forms of heart disease
I51,Complications and ill-defined descriptions of heart disease,Other forms of heart disease
I52,Other heart disorders in diseases classified elsewhere,Other forms of heart disease
I60,Subarachnoid haemorrhage,Other forms of heart disease
I61,Intracerebral haemorrhage,Cerebrovascular disease
I62,Other nontraumatic intracranial haemorrhage,Cerebrovascular disease
I63,Cerebral infarction,Cerebrovascular disease
I64,"Stroke, not specified as haemorrhage or infarction",Cerebrovascular disease
I65,"Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction",Cerebrovascular disease
I66,"Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction",Cerebrovascular disease
I67,Other cerebrovascular diseases,Cerebrovascular disease
I68,Cerebrovascular disorders in diseases classified elsewhere,Cerebrovascular disease
I69,Sequelae of cerebrovascular disease,Cerebrovascular disease
I70,Atherosclerosis,Cerebrovascular disease
I71,Aortic aneurysm and dissection,"Diseases of the arteries, arterioles and capillaries"
I72,Other aneurysm,"Diseases of the arteries, arterioles and capillaries"
I73,Other peripheral vascular diseases,"Diseases of the arteries, arterioles and capillaries"
I74,Arterial embolism and thrombosis,"Diseases of the arteries, arterioles and capillaries"
I77,Other disorders of arteries and arterioles,"Diseases of the arteries, arterioles and capillaries"
I78,Diseases of capillaries,"Diseases of the arteries, arterioles and capillaries"
I79,"Disorders of arteries, arterioles and capillaries in diseases classified elsewhere","Diseases of the arteries, arterioles and capillaries"
I80,Phlebitis and thrombophlebitis,"Diseases of the arteries, arterioles and capillaries"
I81,Portal vein thrombosis,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I82,Other venous embolism and thrombosis,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I83,Varicose veins of lower extremities,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I84,Haemorrhoids,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I85,Oesophageal varices,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I86,Varicose veins of other sites,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I87,Other disorders of veins,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I88,Nonspecific lymphadenitis,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I89,Other noninfective disorders of lymphatic vessels and lymph nodes,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I95,Hypotension,Other and unspecified disorders of the circulatory system
I97,"Postprocedural disorders of circulatory system, not elsewhere classified",Other and unspecified disorders of the circulatory system
I98,Other disorders of circulatory system in diseases classified elsewhere,Other and unspecified disorders of the circulatory system
I99,Other and unspecified disorders of circulatory system,Other and unspecified disorders of the circulatory system
J00,Acute nasopharyngitis [common cold],Acute upper respiratory infections
J01,Acute sinusitis,Acute upper respiratory infections
J02,Acute pharyngitis,Acute upper respiratory infections
J03,Acute tonsillitis,Acute upper respiratory infections
J04,Acute laryngitis and tracheitis,Acute upper respiratory infections
J05,Acute obstructive laryngitis [croup] and epiglottitis,Acute upper respiratory infections
J06,Acute upper respiratory infections of multiple and unspecified sites,Acute upper respiratory infections
J09,Influenza due to identified zoonotic or pandemic influenza virus,Influenza and pneumonia
J10,Influenza due to identified influenza virus,Influenza and pneumonia
J11,"Influenza, virus not identified",Influenza and pneumonia
J12,"Viral pneumonia, not elsewhere classified",Influenza and pneumonia
J13,Pneumonia due to Streptococcus pneumoniae,Influenza and pneumonia
J14,Pneumonia due to Haemophilus influenzae,Influenza and pneumonia
J15,"Bacterial pneumonia, not elsewhere classified",Influenza and pneumonia
J16,"Pneumonia due to other infectious organisms, not elsewhere classified",Influenza and pneumonia
J17,Pneumonia in diseases classified elsewhere,Influenza and pneumonia
J18,"Pneumonia, organism unspecified",Influenza and pneumonia
J20,Acute bronchitis,Other acute lower respiratory infections
J21,Acute bronchiolitis,Other acute lower respiratory infections
J22,Unspecified acute lower respiratory infection,Other acute lower respiratory infections
J30,Vasomotor and allergic rhinitis,Other diseases of the upper respiratory tract
J31,"Chronic rhinitis, nasopharyngitis and pharyngitis",Other diseases of the upper respiratory tract
J32,Chronic sinusitis,Other diseases of the upper respiratory tract
J33,Nasal polyp,Other diseases of the upper respiratory tract
J34,Other disorders of nose and nasal sinuses,Other diseases of the upper respiratory tract
J35,Chronic diseases of tonsils and adenoids,Other diseases of the upper respiratory tract
J36,Peritonsillar abscess,Other diseases of the upper respiratory tract
J37,Chronic laryngitis and laryngotracheitis,Other diseases of the upper respiratory tract
J38,"Diseases of vocal cords and larynx, not elsewhere classified",Other diseases of the upper respiratory tract
J39,Other diseases of upper respiratory tract,Other diseases of the upper respiratory tract
J40,"Bronchitis, not specified as acute or chronic",Chronic lower respiratory disease
J41,Simple and mucopurulent chronic bronchitis,Chronic lower respiratory disease
J42,Unspecified chronic bronchitis,Chronic lower respiratory disease
J43,Emphysema,Chronic lower respiratory disease
J44,Other chronic obstructive pulmonary disease,Chronic lower respiratory disease
J45,Asthma,Chronic lower respiratory disease
J46,Status asthmaticus,Chronic lower respiratory disease
J47,Bronchiectasis,Chronic lower respiratory disease
J60,Coalworker's pneumoconiosis,Lung diseases due to external agents
J61,Pneumoconiosis due to asbestos and other mineral fibres,Lung diseases due to external agents
J62,Pneumoconiosis due to dust containing silica,Lung diseases due to external agents
J63,Pneumoconiosis due to other inorganic dusts,Lung diseases due to external agents
J64,Unspecified pneumoconiosis,Lung diseases due to external agents
J65,Pneumoconiosis associated with tuberculosis,Lung diseases due to external agents
J66,Airway disease due to specific organic dust,Lung diseases due to external agents
J67,Hypersensitivity pneumonitis due to organic dust,Lung diseases due to external agents
J68,"Respiratory conditions due to inhalation of chemicals, gases, fumes and vapours",Lung diseases due to external agents
J69,Pneumonitis due to solids and liquids,Lung diseases due to external agents
J70,Respiratory conditions due to other external agents,Lung diseases due to external agents
J80,Adult respiratory distress syndrome,Other respiratory diseases principally affecting the interstitium
J81,Pulmonary oedema,Other respiratory diseases principally affecting the interstitium
J82,"Pulmonary eosinophilia, not elsewhere classified",Other respiratory diseases principally affecting the interstitium
J84,Other interstitial pulmonary diseases,Other respiratory diseases principally affecting the interstitium
J85,Abscess of lung and mediastinum,Suppurative and necrotic conditions of lower respiratory tract
J86,Pyothorax,Suppurative and necrotic conditions of lower respiratory tract
J90,"Pleural effusion, not elsewhere classified",Other diseases of pleura
J91,Pleural effusion in conditions classified elsewhere,Other diseases of pleura
J92,Pleural plaque,Other diseases of pleura
J93,Pneumothorax,Other diseases of pleura
J94,Other pleural conditions,Other diseases of pleura
J95,"Postprocedural respiratory disorders, not elsewhere classified",Other diseases of the respiratory system
J96,"Respiratory failure, not elsewhere classified",Other diseases of the respiratory system
J98,Other respiratory disorders,Other diseases of the respiratory system
J99,Respiratory disorders in diseases classified elsewhere,Other diseases of the respiratory system
K00,Disorders of tooth development and eruption,"Diseases of the oral cavity, salivary glands and jaws"
K01,Embedded and impacted teeth,"Diseases of the oral cavity, salivary glands and jaws"
K02,Dental caries,"Diseases of the oral cavity, salivary glands and jaws"
K03,Other diseases of hard tissues of teeth,"Diseases of the oral cavity, salivary glands and jaws"
K04,Diseases of pulp and periapical tissues,"Diseases of the oral cavity, salivary glands and jaws"
K05,Gingivitis and periodontal diseases,"Diseases of the oral cavity, salivary glands and jaws"
K06,Other disorders of gingiva and edentulous alveolar ridge,"Diseases of the oral cavity, salivary glands and jaws"
K07,Dentofacial anomalies [including malocclusion],"Diseases of the oral cavity, salivary glands and jaws"
K08,Other disorders of teeth and supporting structures,"Diseases of the oral cavity, salivary glands and jaws"
K09,"Cysts of oral region, not elsewhere classified","Diseases of the oral cavity, salivary glands and jaws"
K10,Other diseases of jaws,"Diseases of the oral cavity, salivary glands and jaws"
K11,Diseases of salivary glands,"Diseases of the oral cavity, salivary glands and jaws"
K12,Stomatitis and related lesions,"Diseases of the oral cavity, salivary glands and jaws"
K13,Other diseases of lip and oral mucosa,"Diseases of the oral cavity, salivary glands and jaws"
K14,Diseases of tongue,"Diseases of the oral cavity, salivary glands and jaws"
K20,Oesophagitis,"Diseases of the oesophagus, stomach and duodenum"
K21,Gastro-oesophageal reflux disease,"Diseases of the oesophagus, stomach and duodenum"
K22,Other diseases of oesophagus,"Diseases of the oesophagus, stomach and duodenum"
K23,Disorders of oesophagus in diseases classified elsewhere,"Diseases of the oesophagus, stomach and duodenum"
K25,Gastric ulcer,"Diseases of the oesophagus, stomach and duodenum"
K26,Duodenal ulcer,"Diseases of the oesophagus, stomach and duodenum"
K27,"Peptic ulcer, site unspecified","Diseases of the oesophagus, stomach and duodenum"
K28,Gastrojejunal ulcer,"Diseases of the oesophagus, stomach and duodenum"
K29,Gastritis and duodenitis,"Diseases of the oesophagus, stomach and duodenum"
K30,Dyspepsia,"Diseases of the oesophagus, stomach and duodenum"
K31,Other diseases of stomach and duodenum,"Diseases of the oesophagus, stomach and duodenum"
K35,Acute appendicitis,Diseases of appendix
K36,Other appendicitis,Diseases of appendix
K37,Unspecified appendicitis,Diseases of appendix
K38,Other diseases of appendix,Diseases of appendix
K40,Inguinal hernia,Hernia
K41,Femoral hernia,Hernia
K42,Umbilical hernia,Hernia
K43,Ventral hernia,Hernia
K44,Diaphragmatic hernia,Hernia
K45,Other abdominal hernia,Hernia
K46,Unspecified abdominal hernia,Hernia
K50,Crohn's disease [regional enteritis],Noninfective enteritis and colitis
K51,Ulcerative colitis,Noninfective enteritis and colitis
K52,Other noninfective gastroenteritis and colitis,Noninfective enteritis and colitis
K55,Vascular disorders of intestine,Other diseases of the intestines
K56,Paralytic ileus and intestinal obstruction without hernia,Other diseases of the intestines
K57,Diverticular disease of intestine,Other diseases of the intestines
K58,Irritable bowel syndrome,Other diseases of the intestines
K59,Other functional intestinal disorders,Other diseases of the intestines
K60,Fissure and fistula of anal and rectal regions,Other diseases of the intestines
K61,Abscess of anal and rectal regions,Other diseases of the intestines
K62,Other diseases of anus and rectum,Other diseases of the intestines
K63,Other diseases of intestine,Other diseases of the intestines
K64,Haemorrhoids and perianal venous thrombosis,Other diseases of the intestines
K65,Peritonitis,Diseases of the peritoneum
K66,Other disorders of peritoneum,Diseases of the peritoneum
K67,Disorders of peritoneum in infectious diseases classified elsewhere,Diseases of the peritoneum
K70,Alcoholic liver disease,Diseases of the liver
K71,Toxic liver disease,Diseases of the liver
K72,"Hepatic failure, not elsewhere classified",Diseases of the liver
K73,"Chronic hepatitis, not elsewhere classified",Diseases of the liver
K74,Fibrosis and cirrhosis of liver,Diseases of the liver
K75,Other inflammatory liver diseases,Diseases of the liver
K76,Other diseases of liver,Diseases of the liver
K77,Liver disorders in diseases classified elsewhere,Diseases of the liver
K80,Cholelithiasis,"Disorders od the gallbladder, biliary tract and pancreas"
K81,Cholecystitis,"Disorders od the gallbladder, biliary tract and pancreas"
K82,Other diseases of gallbladder,"Disorders od the gallbladder, biliary tract and pancreas"
K83,Other diseases of biliary tract,"Disorders od the gallbladder, biliary tract and pancreas"
K85,Acute pancreatitis,"Disorders od the gallbladder, biliary tract and pancreas"
K86,Other diseases of pancreas,"Disorders od the gallbladder, biliary tract and pancreas"
K87,"Disorders of gallbladder, biliary tract and pancreas in diseases classified elsewhere","Disorders od the gallbladder, biliary tract and pancreas"
K90,Intestinal malabsorption,Other diseases of the digestive system
K91,"Postprocedural disorders of digestive system, not elsewhere classified",Other diseases of the digestive system
K92,Other diseases of digestive system,Other diseases of the digestive system
K93,Disorders of other digestive organs in diseases classified elsewhere,Other diseases of the digestive system
L00,Staphylococcal scalded skin syndrome,Infections of the skin and subcutaneous tissue
L01,Impetigo,Infections of the skin and subcutaneous tissue
L02,"Cutaneous abscess, furuncle and carbuncle",Infections of the skin and subcutaneous tissue
L03,Cellulitis,Infections of the skin and subcutaneous tissue
L04,Acute lymphadenitis,Infections of the skin and subcutaneous tissue
L05,Pilonidal cyst,Infections of the skin and subcutaneous tissue
L08,Other local infections of skin and subcutaneous tissue,Infections of the skin and subcutaneous tissue
L10,Pemphigus,Bullous disorders
L11,Other acantholytic disorders,Bullous disorders
L12,Pemphigoid,Bullous disorders
L13,Other bullous disorders,Bullous disorders
L14,Bullous disorders in diseases classified elsewhere,Bullous disorders
L20,Atopic dermatitis,Dermatitis and eczema
L21,Seborrhoeic dermatitis,Dermatitis and eczema
L22,Diaper [napkin] dermatitis,Dermatitis and eczema
L23,Allergic contact dermatitis,Dermatitis and eczema
L24,Irritant contact dermatitis,Dermatitis and eczema
L25,Unspecified contact dermatitis,Dermatitis and eczema
L26,Exfoliative dermatitis,Dermatitis and eczema
